Ejecucion,Iteracion,Tiempo_s,Energia_Wh,Uso_CPU_Porcentaje,RAM_MB,Uso_GPU_Porcentaje,VRAM_MB
PYTHON PURO,1,2.064057,0.641271,25.0,251.93,0,624.5
PYTHON PURO,2,2.076294,0.641271,25.0,251.93,0,624.5
PYTHON PURO,3,2.07596,0.641271,25.0,251.93,0,624.5
PYTHON PURO,4,2.077104,0.641271,25.0,251.93,0,624.5
PYTHON PURO,5,2.076665,0.641271,25.0,251.93,0,624.5
PYTHON PURO,6,2.074517,0.641271,25.0,251.93,0,624.5
PYTHON PURO,7,2.072642,0.641271,25.0,251.93,0,624.5
PYTHON PURO,8,2.088597,0.641271,25.0,251.93,0,624.5
PYTHON PURO,9,2.082962,0.641271,25.0,251.93,0,624.5
PYTHON PURO,10,2.08293,0.641271,25.0,251.93,0,624.5
PYTHON PURO,11,2.080961,0.641271,25.0,251.93,0,624.5
PYTHON PURO,12,2.084569,0.641271,25.0,251.93,0,624.5
PYTHON PURO,13,2.104705,0.641271,25.0,251.93,0,624.5
PYTHON PURO,14,2.076441,0.641271,25.0,251.93,0,624.5
PYTHON PURO,15,2.075902,0.641271,25.0,251.93,0,624.5
PYTHON PURO,16,2.079477,0.641271,25.0,251.93,0,624.5
PYTHON PURO,17,2.071208,0.641271,25.0,251.93,0,624.5
PYTHON PURO,18,2.073603,0.641271,25.0,251.93,0,624.5
PYTHON PURO,19,2.082424,0.641271,25.0,251.93,0,624.5
PYTHON PURO,20,2.070421,0.641271,25.0,251.93,0,624.5
RAY SOLO CPU,1,2.712123,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,2,2.600887,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,3,2.59104,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,4,2.573027,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,5,2.566611,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,6,2.572827,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,7,2.570387,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,8,2.558176,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,9,2.56873,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,10,2.56592,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,11,2.557806,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,12,2.57622,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,13,2.569962,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,14,2.586829,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,15,2.553501,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,16,2.578706,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,17,2.574921,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,18,2.578827,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,19,2.556328,0.833048,7.5,1634.99,0,624.5
RAY SOLO CPU,20,2.577522,0.833048,7.5,1634.99,0,624.5
RAY + NUMPY CPU,1,0.326191,0.100509,28.6,5650.16,0,624.5
RAY + NUMPY CPU,2,0.30285,0.100509,28.6,5650.16,0,624.5
RAY + NUMPY CPU,3,0.337001,0.100509,28.6,5650.16,0,624.5
RAY + NUMPY CPU,4,0.336794,0.100509,28.6,5650.16,0,624.5
RAY + NUMPY CPU,5,0.29161,0.100509,28.6,5650.16,0,624.5
